IND,GSU,GIN,GIG,GSE
Advertising,Advertising,Media,Media & Entertainment,Communication Services
Analytics,Data Processing & Outsourced Services,IT Services,Software & Services,Information Technology
Career / Job Search,Human Resource & Employment Services,Professional Services,Commercial  & Professional Services,Industrials
Classifieds,Communications Equipment,Communications Equipment,Technology Hardware & Equipment,Information Technology
CleanTech,Renewable Electricity ,Independent Power and Renewable Electricity Producers,Utilities,Utilities
Cloud Computing,Application Software,Software,Software & Services,Information Technology
CRM,Research & Consulting Services,Professional Services,Commercial  & Professional Services,Industrials
Database Management,Application Software,Software,Software & Services,Information Technology
E-Commerce,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,Retailing,Consumer Discretionary
Education,Education Services,Diversified Consumer Services,Consumer Services,Consumer Discretionary
Email,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,Retailing,Consumer Discretionary
Energy,Oil & Gas Equipment & Services,Energy Equipment & Services,Energy,Energy
Enterprise Software,Application Software,Software,Software & Services,Information Technology
Entertainment,Interactive Media & Services,Interactive Media & Services,Media & Entertainment,Communication Services
Finance,Financial Exchanges & Data,Capital Markets,Diversified Financials,Financials
Food & Beverages,Restaurants,"Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary
Gaming,Interactive Home Entertainment,Entertainment,Media & Entertainment,Communication Services
Healthcare,Health Care Technology,Health Care Technology,Health Care Equipment & Services,Health Care
Human Resources (HR),Human Resource & Employment Services,Professional Services,Commercial  & Professional Services,Industrials
Information Management,Application Software,Software,Software & Services,Information Technology
Market Research,Interactive Media & Services,Interactive Media & Services,Media & Entertainment,Communication Services
Marketing,Advertising,Media,Media & Entertainment,Communication Services
Media,Advertising,Media,Media & Entertainment,Communication Services
Mobile,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,Retailing,Consumer Discretionary
Music,Movies & Entertainment,Entertainment,Media & Entertainment,Communication Services
nan,nan,nan,nan,nan
Network / Hosting / Infrastructure,Communications Equipment,Communications Equipment,Technology Hardware & Equipment,Information Technology
News,Broadcasting,Media,Media & Entertainment,Communication Services
Operations,Application Software,Software,Software & Services,Information Technology
Publishing,Publishing,Media,Media & Entertainment,Communication Services
Real Estate,Real Estate Services ,Real Estate Management & Development,Real Estate,Real Estate
Retail,General Merchandise Stores,Multiline Retail,Retailing,Consumer Discretionary
Sales,General Merchandise Stores,Multiline Retail,Retailing,Consumer Discretionary
Security,Systems Software,Software,Software & Services,Information Technology
Server Design,Communications Equipment,Communications Equipment,Technology Hardware & Equipment,Information Technology
Services,Specialized Consumer Services,Diversified Consumer Services,Consumer Services,Consumer Discretionary
Social Media,Advertising,Media,Media & Entertainment,Communication Services
Social Networking,Advertising,Media,Media & Entertainment,Communication Services
Solution Providing,Systems Software,Software,Software & Services,Information Technology
Space Travel,"Hotels, Resorts & Cruise Lines","Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary
Strategy,Advertising,Media,Media & Entertainment,Communication Services
Targeting,Advertising,Media,Media & Entertainment,Communication Services
Telecommunications,Wireless Telecommunication Services,Wireless Telecommunication Services,Telecommunication Services,Communication Services
Transportation,Air Freight & Logistics,Air Freight & Logistics,Transportation,Industrials
Travel,"Hotels, Resorts & Cruise Lines","Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary